"457,GODDARDHOUSE,GODDARDFL 2,GODDARD330,GODDARD330,GODDARD330-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"458,GODDARDHOUSE,GODDARDFL 2,GODDARD331,GODDARD331,GODDARD331-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"459,GODDARDHOUSE,GODDARDFL 2,GODDARD333,GODDARD333,GODDARD333-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"460,GODDARDHOUSE,GODDARDFL 2,GODDARD340,GODDARD340,GODDARD340-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"461,GODDARDHOUSE,GODDARDFL 2,GODDARD342,GODDARD342,GODDARD342-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"462,GODDARDHOUSE,GODDARDFL 2,GODDARD342,GODDARD342,GODDARD342-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"463,GODDARDHOUSE,GODDARDFL 2,GODDARD344A,GODDARD344A,GODDARD344A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"464,GODDARDHOUSE,GODDARDFL 2,GODDARD344B,GODDARD344B,GODDARD344B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"465,GODDARDHOUSE,GODDARDFL 2,GODDARD345,GODDARD345,GODDARD345-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"466,GODDARDHOUSE,GODDARDFL 2,GODDARD346,GODDARD346,GODDARD346-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"467,GODDARDHOUSE,GODDARDFL 2,GODDARD346,GODDARD346,GODDARD346-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"468,GODDARDHOUSE,GODDARDFL 2,GODDARD347,GODDARD347,GODDARD347-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"469,GODDARDHOUSE,GODDARDFL 2,GODDARD347,GODDARD347,GODDARD347-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"470,GODDARDHOUSE,GODDARDFL 2,GODDARD348,GODDARD348,GODDARD348-1,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"471,GODDARDHOUSE,GODDARDFL 2,GODDARD348,GODDARD348,GODDARD348-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"472,GODDARDHOUSE,GODDARDFL 4,GODDARD402,GODDARD402,GODDARD402-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"473,GODDARDHOUSE,GODDARDFL 4,GODDARD402,GODDARD402,GODDARD402-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"474,GODDARDHOUSE,GODDARDFL 4,GODDARD404,GODDARD404,GODDARD404-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"475,GODDARDHOUSE,GODDARDFL 4,GODDARD404,GODDARD404,GODDARD404-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"476,GODDARDHOUSE,GODDARDFL 4,GODDARD406,GODDARD406,GODDARD406-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"477,GODDARDHOUSE,GODDARDFL 4,GODDARD406,GODDARD406,GODDARD406-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"478,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 130,GRADCTRA 130133,GRADCTRA 130133-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"479,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 130,GRADCTRA 130134,GRADCTRA 130134-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"480,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 140,GRADCTRA 140141,GRADCTRA 140141-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"481,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 140,GRADCTRA 140142,GRADCTRA 140142-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"482,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 140,GRADCTRA 140143,GRADCTRA 140143-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"483,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 140,GRADCTRA 140144,GRADCTRA 140144-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"484,GRAD CENTERA,GRADCTRA FL 1,GRADCTRA 140,GRADCTRA 140145,GRADCTRA 140145-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"485,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 220,GRADCTRA 220222,GRADCTRA 220222-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"486,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 220,GRADCTRA 220223,GRADCTRA 220223-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"487,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 220,GRADCTRA 220224,GRADCTRA 220224-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"488,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 220,GRADCTRA 220225,GRADCTRA 220225-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"489,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 230,GRADCTRA 230231,GRADCTRA 230231-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"490,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 230,GRADCTRA 230232,GRADCTRA 230232-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"491,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 230,GRADCTRA 230233,GRADCTRA 230233-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"492,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 230,GRADCTRA 230234,GRADCTRA 230234-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"493,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 240,GRADCTRA 240241,GRADCTRA 240241-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"494,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 240,GRADCTRA 240242,GRADCTRA 240242-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"495,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 240,GRADCTRA 240243,GRADCTRA 240243-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"496,GRAD CENTERA,GRADCTRA FL 2,GRADCTRA 240,GRADCTRA 240246,GRADCTRA 240246-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"497,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 310,GRADCTRA 310311,GRADCTRA 310311-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"498,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 310,GRADCTRA 310312,GRADCTRA 310312-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"499,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 310,GRADCTRA 310314,GRADCTRA 310314-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"500,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 310,GRADCTRA 310315,GRADCTRA 310315-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"501,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 320,GRADCTRA 320322,GRADCTRA 320322-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"502,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 320,GRADCTRA 320323,GRADCTRA 320323-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"503,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 320,GRADCTRA 320324,GRADCTRA 320324-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"504,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 330,GRADCTRA 330331,GRADCTRA 330331-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"505,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 330,GRADCTRA 330332,GRADCTRA 330332-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"506,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 330,GRADCTRA 330334,GRADCTRA 330334-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"507,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 340,GRADCTRA 340344,GRADCTRA 340344-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"508,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 340,GRADCTRA 340345,GRADCTRA 340345-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"509,GRAD CENTERA,GRADCTRA FL 3,GRADCTRA 340,GRADCTRA 340346,GRADCTRA 340346-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"510,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 410,GRADCTRA 410411,GRADCTRA 410411-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"511,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 410,GRADCTRA 410412,GRADCTRA 410412-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"512,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 410,GRADCTRA 410413,GRADCTRA 410413-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"513,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 410,GRADCTRA 410414,GRADCTRA 410414-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"514,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 410,GRADCTRA 410415,GRADCTRA 410415-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"515,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420421,GRADCTRA 420421-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"516,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420422,GRADCTRA 420422-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"517,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420423,GRADCTRA 420423-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"518,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420424,GRADCTRA 420424-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"519,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420425,GRADCTRA 420425-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"520,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 420,GRADCTRA 420426,GRADCTRA 420426-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"521,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 430,GRADCTRA 430434,GRADCTRA 430434-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"522,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440441,GRADCTRA 440441-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"523,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440442,GRADCTRA 440442-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"524,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440443,GRADCTRA 440443-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"525,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440444,GRADCTRA 440444-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"526,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440445,GRADCTRA 440445-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"527,GRAD CENTERA,GRADCTRA FL 4,GRADCTRA 440,GRADCTRA 440446,GRADCTRA 440446-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"528,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 510,GRADCTRA 510511,GRADCTRA 510511-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"529,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 510,GRADCTRA 510512,GRADCTRA 510512-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"530,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 510,GRADCTRA 510513,GRADCTRA 510513-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"531,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 510,GRADCTRA 510514,GRADCTRA 510514-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"532,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 510,GRADCTRA 510515,GRADCTRA 510515-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"533,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 520,GRADCTRA 520521,GRADCTRA 520521-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"534,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 520,GRADCTRA 520522,GRADCTRA 520522-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"535,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 520,GRADCTRA 520523,GRADCTRA 520523-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"536,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 520,GRADCTRA 520524,GRADCTRA 520524-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"537,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 520,GRADCTRA 520525,GRADCTRA 520525-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"538,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 530,GRADCTRA 530531,GRADCTRA 530531-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"539,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 530,GRADCTRA 530532,GRADCTRA 530532-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"540,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 530,GRADCTRA 530533,GRADCTRA 530533-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"541,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 530,GRADCTRA 530534,GRADCTRA 530534-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"542,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 530,GRADCTRA 530535,GRADCTRA 530535-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"543,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540541,GRADCTRA 540541-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"544,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540542,GRADCTRA 540542-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"545,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540543,GRADCTRA 540543-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"546,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540544,GRADCTRA 540544-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"547,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540545,GRADCTRA 540545-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"548,GRAD CENTERA,GRADCTRA FL 5,GRADCTRA 540,GRADCTRA 540546,GRADCTRA 540546-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"549,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 610,GRADCTRA 610611,GRADCTRA 610611-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"550,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 610,GRADCTRA 610612,GRADCTRA 610612-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"551,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 610,GRADCTRA 610614,GRADCTRA 610614-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"552,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 610,GRADCTRA 610615,GRADCTRA 610615-1,Single(Suite/Apartment),,Female,24-25 QuietHousing,"
"553,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620621,GRADCTRA 620621-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"554,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620622,GRADCTRA 620622-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"555,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620623,GRADCTRA 620623-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"556,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620624,GRADCTRA 620624-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"557,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620625,GRADCTRA 620625-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"558,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 620,GRADCTRA 620626,GRADCTRA 620626-1,Single(Suite/Apartment),,CoEd,24-25 QuietHousing,"
"559,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640641,GRADCTRA 640641-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"560,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640642,GRADCTRA 640642-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"561,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640643,GRADCTRA 640643-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"562,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640644,GRADCTRA 640644-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"563,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640645,GRADCTRA 640645-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"
"564,GRAD CENTERA,GRADCTRA FL 6,GRADCTRA 640,GRADCTRA 640646,GRADCTRA 640646-1,Single(Suite/Apartment),,DynamicGender,24-25 QuietHousing,"

",A,B,C,D,E,F,G,H,I,"
"565,GRAD CENTERB,GRADCTRBFL1,GRADCTRB110,GRADCTRB110 113,GRADCTRB110 113-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"566,GRAD CENTERB,GRADCTRBFL1,GRADCTRB110,GRADCTRB110 115,GRADCTRB110 115-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"567,GRAD CENTERB,GRADCTRBFL1,GRADCTRB120,GRADCTRB120 121,GRADCTRB120 121-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"568,GRAD CENTERB,GRADCTRBFL1,GRADCTRB120,GRADCTRB120 122,GRADCTRB120 122-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"569,GRAD CENTERB,GRADCTRBFL1,GRADCTRB120,GRADCTRB120 123,GRADCTRB120 123-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"570,GRAD CENTERB,GRADCTRBFL1,GRADCTRB120,GRADCTRB120 124,GRADCTRB120 124-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"571,GRAD CENTERB,GRADCTRBFL1,GRADCTRB120,GRADCTRB120 125,GRADCTRB120 125-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"572,GRAD CENTERB,GRADCTRBFL1,GRADCTRB140,GRADCTRB140 141,GRADCTRB140 141-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"573,GRAD CENTERB,GRADCTRBFL1,GRADCTRB140,GRADCTRB140 142,GRADCTRB140 142-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"574,GRAD CENTERB,GRADCTRBFL1,GRADCTRB140,GRADCTRB140 143,GRADCTRB140 143-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"575,GRAD CENTERB,GRADCTRBFL1,GRADCTRB140,GRADCTRB140 144,GRADCTRB140 144-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"576,GRAD CENTERB,GRADCTRBFL1,GRADCTRB140,GRADCTRB140 145,GRADCTRB140 145-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"577,GRAD CENTERB,GRADCTRBFL2,GRADCTRB210,GRADCTRB210 212,GRADCTRB210 212-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"578,GRAD CENTERB,GRADCTRBFL2,GRADCTRB210,GRADCTRB210 213,GRADCTRB210 213-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"579,GRAD CENTERB,GRADCTRBFL2,GRADCTRB210,GRADCTRB210 214,GRADCTRB210 214-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"580,GRAD CENTERB,GRADCTRBFL2,GRADCTRB210,GRADCTRB210 215,GRADCTRB210 215-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"581,GRAD CENTERB,GRADCTRBFL2,GRADCTRB210,GRADCTRB210 216,GRADCTRB210 216-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"582,GRAD CENTERB,GRADCTRBFL2,GRADCTRB220,GRADCTRB220 221,GRADCTRB220 221-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"583,GRAD CENTERB,GRADCTRBFL2,GRADCTRB220,GRADCTRB220 222,GRADCTRB220 222-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"584,GRAD CENTERB,GRADCTRBFL2,GRADCTRB220,GRADCTRB220 223,GRADCTRB220 223-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"585,GRAD CENTERB,GRADCTRBFL2,GRADCTRB220,GRADCTRB220 224,GRADCTRB220 224-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"586,GRAD CENTERB,GRADCTRBFL2,GRADCTRB230,GRADCTRB230 231,GRADCTRB230 231-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"587,GRAD CENTERB,GRADCTRBFL2,GRADCTRB230,GRADCTRB230 232,GRADCTRB230 232-1,Single(Suite/Apartment),,Male,24-25 SpringGeneralSelection,"
"588,GRAD CENTERB,GRADCTRBFL2,GRADCTRB230,GRADCTRB230 233,GRADCTRB230 233-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"589,GRAD CENTERB,GRADCTRBFL2,GRADCTRB230,GRADCTRB230 234,GRADCTRB230 234-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"590,GRAD CENTERB,GRADCTRBFL2,GRADCTRB230,GRADCTRB230 235,GRADCTRB230 235-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"591,GRAD CENTERB,GRADCTRBFL2,GRADCTRB240,GRADCTRB240 241,GRADCTRB240 241-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"592,GRAD CENTERB,GRADCTRBFL2,GRADCTRB240,GRADCTRB240 242,GRADCTRB240 242-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"593,GRAD CENTERB,GRADCTRBFL2,GRADCTRB240,GRADCTRB240 243,GRADCTRB240 243-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"594,GRAD CENTERB,GRADCTRBFL2,GRADCTRB240,GRADCTRB240 244,GRADCTRB240 244-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"595,GRAD CENTERB,GRADCTRBFL2,GRADCTRB240,GRADCTRB240 245,GRADCTRB240 245-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"596,GRAD CENTERB,GRADCTRBFL3,GRADCTRB310,GRADCTRB310 313,GRADCTRB310 313-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"597,GRAD CENTERB,GRADCTRBFL3,GRADCTRB310,GRADCTRB310 314,GRADCTRB310 314-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"598,GRAD CENTERB,GRADCTRBFL3,GRADCTRB310,GRADCTRB310 315,GRADCTRB310 315-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"599,GRAD CENTERB,GRADCTRBFL3,GRADCTRB320,GRADCTRB320 321,GRADCTRB320 321-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"600,GRAD CENTERB,GRADCTRBFL3,GRADCTRB320,GRADCTRB320 322,GRADCTRB320 322-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"601,GRAD CENTERB,GRADCTRBFL3,GRADCTRB320,GRADCTRB320 323,GRADCTRB320 323-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"602,GRAD CENTERB,GRADCTRBFL3,GRADCTRB320,GRADCTRB320 325,GRADCTRB320 325-1,Single(Suite/Apartment),,DynamicGender,24-25 SpringGeneralSelection,"
"603,GRAD CENTERB,GRADCTRBFL3,GRADCTRB340,GRADCTRB340 341,GRADCTRB340 341-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"604,GRAD CENTERB,GRADCTRBFL3,GRADCTRB340,GRADCTRB340 344,GRADCTRB340 344-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"605,GRAD CENTERB,GRADCTRBFL3,GRADCTRB340,GRADCTRB340 345,GRADCTRB340 345-1,Single(Suite/Apartment),,CoEd,24-25 SpringGeneralSelection,"
"606,GRAD CENTERB,GRADCTRBFL4,GRADCTRB410,GRADCTRB410 411,GRADCTRB410 411-1,Single(Suite/Apartment),,Female,24-25 SpringGeneralSelection,"
"607,GRAD CENTERB,GRADCTRBFL4,GRADCTRB410,GRADCTRB410 412,GRADCTRB410 412-1,Single(Suite/Apartment),,Female,24-25 SpringGeneralSelection,"
"608,GRAD CENTERB,GRADCTRBFL4,GRADCTRB410,GRADCTRB410 413,GRADCTRB410 413-1,Single(Suite/Apartment),,Female,24-25 SpringGeneralSelection,"
"609,GRAD CENTERB,GRADCTRBFL4,GRADCTRB410,GRADCTRB410 414,GRADCTRB410 414-1,Single(Suite/Apartment),,Male,24-25 SpringGeneralSelection,"
"610,GRAD CENTERB,GRADCTRBFL4,GRADCTRB410,GRADCTRB410 415,GRADCTRB410 415-1,Single(Suite/Apartment),,Male,24-25 SpringGeneralSelection,"
