"35,BARBOURHALL,BARBOURFL2,BARBOUR203,BARBOUR203,BARBOUR203-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"36,BARBOURHALL,BARBOURFL2,BARBOUR203,BARBOUR203,BARBOUR203-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"37,BARBOURHALL,BARBOURFL2,BARBOUR203,BARBOUR203,BARBOUR203-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"38,BARBOURHALL,BARBOURFL2,BARBOUR205,BARBOUR205,BARBOUR205-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"39,BARBOURHALL,BARBOURFL2,BARBOUR205,BARBOUR205,BARBOUR205-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"40,BARBOURHALL,BARBOURFL2,BARBOUR205,BARBOUR205,BARBOUR205-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"41,BARBOURHALL,BARBOURFL2 APT,BARBOUR250,BARBOUR250252,BARBOUR250252-1,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"42,BARBOURHALL,BARBOURFL2 APT,BARBOUR250,BARBOUR250252,BARBOUR250252-2,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"43,BARBOURHALL,BARBOURFL2 APT,BARBOUR250,BARBOUR250252,BARBOUR250252-3,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"44,BARBOURHALL,BARBOURFL2 APT,BARBOUR250,BARBOUR250255,BARBOUR250255-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"45,BARBOURHALL,BARBOURFL2 APT,BARBOUR250,BARBOUR250255,BARBOUR250255-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"46,BARBOURHALL,BARBOURFL2 APT,BARBOUR260,BARBOUR260263,BARBOUR260263-1,Single(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"47,BARBOURHALL,BARBOURFL2 APT,BARBOUR260,BARBOUR260264,BARBOUR260264-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"48,BARBOURHALL,BARBOURFL2 APT,BARBOUR260,BARBOUR260264,BARBOUR260264-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"49,BARBOURHALL,BARBOURFL2 APT,BARBOUR260,BARBOUR260265,BARBOUR260265-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"50,BARBOURHALL,BARBOURFL2 APT,BARBOUR260,BARBOUR260265,BARBOUR260265-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"51,BARBOURHALL,BARBOURFL2 APT,BARBOUR280,BARBOUR280281,BARBOUR280281-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"52,BARBOURHALL,BARBOURFL2 APT,BARBOUR280,BARBOUR280281,BARBOUR280281-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"53,BARBOURHALL,BARBOURFL3,BARBOUR301,BARBOUR301,BARBOUR301-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"54,BARBOURHALL,BARBOURFL3,BARBOUR301,BARBOUR301,BARBOUR301-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"55,BARBOURHALL,BARBOURFL3,BARBOUR302/304,BARBOUR302,BARBOUR302-1,Double,,Male,24-25 SpringGeneralSelection,"
"56,BARBOURHALL,BARBOURFL3,BARBOUR302/304,BARBOUR302,BARBOUR302-2,Double,,Male,24-25 SpringGeneralSelection,"
